"","options"
"553","infant formula, mead johnson, enfamil, nutramigen, lipil, with iron, ready-to-feed, with ara and dha"
"554","infant formula, abbott nutrition, similac, alimentum, with iron, ready-to-feed"
"555","infant formula, mead johnson, enfamil, enfacare lipil, with iron, powder, with ara and dha"
"556","infant formula, abbott nutrition, similac, with iron, ready-to-feed"
"557","infant formula, abbott nutrition, similac, with iron, liquid concentrate, not reconstituted"
"558","infant formula, mead johnson, enfamil, prosobee lipil, with iron, powder, not reconstituted, with ara and dha"
"559","infant formula, abbott nutrition, similac, with iron, powder, not reconstituted"
"560","infant formula, mead johnson, enfamil, prosobee, lipil, liquid concentrate, not reconstituted, with ara and dha"
"561","infant formula, abbott nutrition, similac, low iron, ready-to-feed"
"562","infant formula, abbott nutrition, similac, low iron, liquid concentrate, not reconstituted"
"563","infant formula, mead johnson, prosobee lipil, with iron, ready to feed, with ara and dha"
"564","infant formula, abbott nutrition, similac, low iron, powder, not reconstituted"
"565","infant formula, nestle, good start soy, with dha and ara, ready-to-feed"
"566","child formula, abbott nutrition, pediasure, ready-to-feed"
"567","infant formula, mead johnson, next step, prosobee lipil, powder, with ara and dha"
"568","infant formula, mead johnson, next step, prosobee, lipil, ready to feed, with ara and dha"
"569","infant formula, nestle, good start soy, with ara and dha, powder"
"570","infant formula, mead johnson, enfamil, lactofree, ready-to-feed"
"571","infant formula, mead johnson, enfamil, lactofree, with iron, powder, not reconstituted"
"572","child formula, abbott nutrition, pediasure, ready-to-feed, with iron and fiber"
"573","infant formula, nestle, good start 2 essentials, with iron, ready-to-feed"
"574","infant formula, nestle, good start 2 essentials, with iron, liquid concentrate, not reconstituted"
"575","infant formula, nestle, good start 2 essentials, with iron, powder"
"576","infant formula, nestle, good start essentials soy, with iron, ready-to-feed"
"577","infant formula, nestle, good start essentials soy, with iron, liquid concentrate, not reconstituted"
"578","infant formula, nestle, good start essentials soy, with iron, powder"
"579","infant formula, mead johnson, next step prosobee, powder, not reconstituted"
"580","infant formula, mead johnson,next step prosobee, prepared from powder"
"581","babyfood, corn and sweet potatoes, strained"
"582","infant formula, abbott nutrition, similac, alimentum, advance, ready-to-feed, with ara and dha"
"583","infant formula, pbm products, store brand, ready-to-feed"
"584","infant formula, pbm products, store brand, liquid concentrate, not reconstituted"
"585","infant formula, pbm products, store brand, powder"
"586","infant formula, pbm products, store brand, soy, ready-to-feed"
"587","infant formula, pbm products, store brand, soy, liquid concentrate, not reconstituted"
"588","infant formula, pbm products, store brand, soy, powder"
